Facility Number,Facility Name,Common Name,Registration Status,Created At,Updated At,Zone,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Registration Number,CTC Number,Latitude,Longitude,Date Opened,National Grid,Generator,Solar Panels,No Electricity,Other
104690-3,Mchichira,Mchichira,Registered,2013-08-20T10:40:36.000Z,2019-09-16T09:39:34.000Z,Southern Zone,Mtwara,Tandahimba,Tandahimba DC,Mchichira,Mchichira,Dispensary,Operating,Public - LGA,104690-3,09-05-0114,-10.89594,39.62944,15/05/1975,1,0,1,0,0
104691-1,Mchinga,Mchinga,,2013-08-20T10:40:36.000Z,2015-05-28T09:02:55.000Z,Southern Zone,Lindi,Lindi,Lindi DC,Mchinga,Mchinga I,Dispensary,Operating,Public - LGA,,,-9.743401,39.70862,,0,0,0,0,0
104692-9,Mchinga,Mchinga,Registered,2013-08-20T10:40:36.000Z,2018-04-25T17:14:28.000Z,Eastern Zone,Pwani,Rufiji,Kibiti DC,Salale,Not set,Dispensary,Operating,Public - LGA,65052,,-7.817662,39.362515,01/06/1970,0,0,1,0,0
112476-7,Mcholi Godauni,Mcholi Godauni,Not Registered,2019-01-30T09:45:32.000Z,2020-01-16T12:10:14.000Z,Southern Zone,Mtwara,Newala,Newala TC,Mcholi I,Not set,Dispensary,Operating,Public - LGA,,,-10.58184,39.24936,,0,0,0,0,0
104693-7,Mchombe,,,2013-08-20T10:40:37.000Z,2016-02-18T07:06:57.000Z,Eastern Zone,Morogoro,Kilombero,Kilombero DC,Mchombe,Mchombe,Dispensary,Operating,Private - Faith based organization (FBO),,,-8.31667,36.1167,,0,0,0,0,0
104694-5,Mchomoro,Mchomoro,Registered,2013-08-20T10:40:37.000Z,2019-12-16T15:25:24.000Z,Southern Zone,Ruvuma,Namtumbo,Namtumbo DC,Mchomoro,Mchomoro,Dispensary,Operating,Public - LGA,,,-10.57732,36.33635,,0,0,1,0,0
111147-5,Mchonda,Mchonda,Registered,2015-11-19T09:36:01.000Z,2019-08-09T06:56:38.000Z,Southern Zone,Lindi,Nachingwea,Nachingwea DC,Naipingo,Mchonda,Dispensary,Operating,Public - LGA,,08-03-0138,-10.42408,38.68704,02/03/2015,0,0,1,0,0
104695-2,Mchoteka,,,2013-08-20T10:40:37.000Z,2015-08-24T07:46:00.000Z,Southern Zone,Ruvuma,Tunduru,Tunduru DC,Mchoteka,Mchoteka,Health Center,Operating,Public - LGA,,,-11.449,36.885,,0,0,0,0,0
104696-0,Mchukwi,Mchukwi,Registered,2013-08-20T10:40:37.000Z,2018-04-25T13:03:38.000Z,Eastern Zone,Pwani,Rufiji,Kibiti DC,Mchukwi,Not set,Dispensary,Operating,Public - LGA,,,-7.76174,38.9991,01/07/1976,0,0,1,0,0
104697-8,Mchukwi Mission,Mchukwi Mision,Registered,2013-08-20T10:40:37.000Z,2019-03-01T10:55:19.000Z,Eastern Zone,Pwani,Rufiji,Kibiti DC,Mchukwi,Mchukwi A,Hospital - Hospital at District Level,Operating,Private - Faith based organization (FBO),64001,,-7.77026,39.0248,15/07/1970,1,1,1,0,0
104698-6,Mchungu,Mchungu,Registered,2013-08-20T10:40:38.000Z,2018-04-25T13:01:37.000Z,Eastern Zone,Pwani,Rufiji,Kibiti DC,Mahege,Not set,Dispensary,Operating,Public - LGA,,,-7.71505,39.2856,05/03/2008,0,0,1,0,0
108341-9,Mchuo,mchuo dispensary,Registered,2013-08-20T10:55:35.000Z,2019-06-03T10:55:10.000Z,Western Zone,Tabora,Igunga,Igunga DC,Igunga,Igunga,Dispensary,Operating,Private - For Profit,142202,,-4.177,33.5257,01/11/2010,1,0,1,0,0
104699-4,Mchuruka,Mchuluka,,2013-08-20T10:40:38.000Z,2014-10-17T18:42:31.000Z,Southern Zone,Ruvuma,Tunduru,Tunduru DC,Mchuluka,Mchuluka,Dispensary,Operating,Public - LGA,,,-11.00939,37.45721,,0,0,1,0,0
110945-3,MCW Dental,Kipera,Not Registered,2015-10-05T11:09:31.000Z,2018-03-30T04:56:40.000Z,Southern Zone,Ruvuma,Songea,Songea MC,Ruvuma,Ruvuma Juu,Clinic,Operating,Public - LGA,,,-10.69996,35.64592,11/03/2008,0,1,0,0,0
113405-5,MD Mult Specialised,MD MALTSPECIALISED HOSPITAL,Registered,2019-03-27T17:30:46.000Z,2019-07-26T07:07:50.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Kawe,Mbezi beach B,Hospital - Super Specialized Hospital at National Level,Operating,Private - For Profit,71588,,-6.66113,39.20247,15/03/2019,1,1,0,0,0
104700-0,Mdabulo,Mdabulo,,2013-08-20T10:40:38.000Z,2017-02-21T08:56:17.000Z,Southern Highlands Zone,Iringa,Mufindi,Mufindi DC,Mdabulo,Kidete,Dispensary,Operating,Private - Faith based organization (FBO),112008,,-8.5036,35.5124,,1,0,0,0,0
104702-6,Mdandu,Zahanati ya Mdandu,Registered,2013-08-20T10:40:39.000Z,2019-11-08T09:50:22.000Z,Southern Highlands Zone,Njombe,Wanging'ombe,Wanging'ombe DC,Mdandu,Mdandu,Dispensary,Operating,Public - LGA,104702-6,,-9.148297,34.695201,01/07/1937,1,0,0,0,0
104703-4,Mdende,Mdende,Registration Pending Certification,2013-08-20T10:40:39.000Z,2019-07-02T13:43:50.000Z,Southern Highlands Zone,Katavi,Mlele,Mpimbwe DC,Majimoto,Majimoto,Dispensary,Operating,Private - For Profit,,,-7.24733,31.39041,08/01/2008,0,0,0,0,1
104704-2,Mdilu,Mdilu,Registered,2013-08-20T10:40:39.000Z,2019-04-30T13:06:03.000Z,Central Zone,Singida,Singida,Singida DC,Mwasauya,Mdilu,Dispensary,Operating,Public - LGA,,,-4.58902,34.99249,,0,0,0,0,0
104705-9,Mdimba,Mdimba,Registered,2013-08-20T10:40:40.000Z,2019-09-16T09:40:39.000Z,Southern Zone,Mtwara,Tandahimba,Tandahimba DC,Mdimbamnyoma,Mnyoma,Dispensary,Operating,Public - LGA,104705-9,09-05-0110,-10.759806,39.474089,01/07/1975,0,0,1,0,0
104706-7,Mdimni,,Registered,2013-08-20T10:40:40.000Z,2018-10-23T20:21:26.000Z,Eastern Zone,Pwani,Mkuranga,Mkuranga DC,Magawa,Mdimni,Dispensary,Operating,Public - LGA,,,-7.424961,39.293011,,0,0,0,0,0
104707-5,Mdwema,Mdwema,Registered,2013-08-20T10:40:40.000Z,2019-12-16T16:17:58.000Z,Southern Zone,Ruvuma,Namtumbo,Namtumbo DC,Namabengo,Mdwema,Dispensary,Operating,Public - LGA,,,-10.61861,35.86357,,0,0,1,0,0
104708-3,Mea - mtwaro,Meamtwaro,,2013-08-20T10:40:40.000Z,2014-10-17T17:59:14.000Z,Southern Zone,Ruvuma,Tunduru,Tunduru DC,Misechela,Mea mtwaro,Dispensary,Operating,Public - LGA,,,-11.24939,37.5617,,0,0,1,0,0
104709-1,Meatu,,Registered,2013-08-20T10:40:40.000Z,2018-01-02T06:48:28.000Z,Western Zone,Simiyu,Meatu,Meatu DC,Mwanhuzi,Bomani,Hospital - District Hospital,Operating,Public - LGA,,,-3.51901,34.30824,15/07/1987,1,1,0,0,0
104710-9,Meatu Pentecoste,,Registered,2013-08-20T10:40:40.000Z,2016-01-26T16:38:48.000Z,Western Zone,Simiyu,Meatu,Meatu DC,Mwanhuzi,Bomani,Dispensary,Closed,Private - Faith based organization (FBO),,,-3.52312,34.31271,17/12/1998,1,0,0,0,0
111656-5,Mebu,Mebu Dispensary,Registered,2017-02-09T08:52:03.000Z,2017-10-30T09:20:10.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kivule,Kivule,Dispensary,Operating,Private - For Profit,72452,,-6.91595,39.18874,01/07/2015,1,1,0,0,0
110497-5,Med check,Med-Check,Registered,2015-07-08T07:11:20.000Z,2016-04-21T12:15:15.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Bunju,Dovya,Dispensary,Operating,Private - For Profit,,,-6.621888,39.140664,01/12/2014,1,1,0,0,0
110601-2,Med Consult,Med Consult,Not Registered,2015-07-09T14:02:55.000Z,2019-08-27T08:20:39.000Z,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Kimara,Golani,Clinic - Other Clinic,Closed,Private - For Profit,71435,,-6.80136,39.16809,02/07/2015,1,0,0,0,0
111369-5,Med dent,Med dent,Registered,2016-04-13T06:43:16.000Z,2019-12-11T19:28:52.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Msasani,Mikoroshini,Clinic - Dental Clinic,Closed,Private - For Profit,,,-6.77212,39.2705,,0,0,0,0,0
110800-0,MED ED,Kwa Doctor Rwekatare,Registered,2015-07-20T05:40:54.000Z,2020-03-24T09:38:34.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Magharibi,Charambe,Clinic - Other Clinic,Closed,Private - For Profit,72098,,-6.797839,39.286226,09/06/2008,1,1,0,0,0
110683-0,Medcorp,Medcorp,,2015-07-11T09:33:27.000Z,2015-07-16T06:26:39.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Kinondoni,Kumbukumbu,Clinic - Other Clinic,Operating,Private - For Profit,,,-6.78046,39.27294,,0,0,0,0,0
104713-3,Medewell,Medwell,Registered,2013-08-20T10:40:41.000Z,2019-07-05T07:56:03.000Z,Eastern Zone,Pwani,Kibaha,Kibaha TC,Tumbi,Mkoani B,Health Center,Operating,Private - Faith based organization (FBO),62208,,-6.79118,39.0016,,1,1,0,0,0
101025-5,Medical consultant,Dr Pendaeli,Registered,2013-08-20T10:27:08.000Z,2016-02-03T08:59:37.000Z,Northern Zone,Kilimanjaro,Moshi,Moshi MC,Mawenzi,Hindu,Dispensary,Closed,Private - For Profit,789,,-3.34765,37.34428,30/06/1994,1,0,0,0,0
104716-6,Medical Research (NIMR),NIMR,Registered,2013-08-20T10:40:42.000Z,2020-01-31T08:51:39.000Z,Lake Zone,Mwanza,Ilemela,Ilemela MC,Kitangiri,Medical Research,Health Center,Operating,Public - Parastatal,,,-2.48916,32.8975,13/04/2003,1,1,0,0,0
105649-8,Medicare,Muheza medicare,Registered,2013-08-20T10:44:22.000Z,2015-12-16T13:36:57.000Z,Northern Zone,Tanga,Muheza,Muheza DC,Masuguru,Masuguru,Dispensary,Operating,Private - Faith based organization (FBO),43106,,-5.17389,38.78738,30/03/1999,1,0,0,0,0
104717-4,Medicare Dental,Medicare Dental Clinic,Registered,2013-08-20T10:40:42.000Z,2018-04-23T12:57:25.000Z,Southern Highlands Zone,Njombe,Njombe,Makambako TC,Mwembetogwa,Mwembetogwa,Clinic - Dental Clinic,Operating,Private - For Profit,19129,,-8.84676,34.8246,07/07/2015,1,0,0,0,0
112195-3,Medicorps,Medicorps Medical Clinic,Registered,2018-04-17T13:41:17.000Z,2018-04-17T13:41:17.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Msasani,Oysterbay,Dispensary,Operating,Private - For Profit,71434,,-6.78049,39.27298,03/01/2014,1,0,0,0,0
113754-6,Medilife,medilife,Registered,2019-08-14T18:30:36.000Z,2019-08-14T18:30:36.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Ilala,Kasulu,Dispensary,Operating,Private - For Profit,,,-6.83132,39.26091,04/01/2017,1,1,0,0,0
111999-9,Megacare,,Registered,2018-01-16T16:14:54.000Z,2019-06-21T09:52:27.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Themi,Corridor,Health Labs - Level IA1 (Health centre Laboratory),Operating,Private - For Profit,PHL-C/AR/AUT/40,,-3.375081,36.699683,,0,0,0,0,0
112151-6,Megra,Megra,Registered,2018-03-27T09:01:43.000Z,2019-07-24T15:21:57.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Ukonga,Mwembe Madafu,Clinic - Other Clinic,Closed (Temporary),Private - For Profit,72259,,-6.88113,39.17836,01/05/2018,1,0,0,0,0
110684-8,Megra Medical,Megra Medical and Dental,Registered,2015-07-11T09:34:36.000Z,2019-08-27T09:55:50.000Z,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Sinza,Sinza A,Clinic - Specialized Polyclinic,Operating,Private - For Profit,,,-6.7778,39.21877,01/07/2015,1,1,0,0,0
104721-6,Meig's Bunju,MeigÂ´s Bunju,Registered,2013-08-20T10:40:43.000Z,2017-11-17T05:50:51.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Mabwepande,Bunju B,Dispensary,Operating,Private - For Profit,71392,,-6.6191,39.0968,,1,0,0,0,0
104720-8,MEIGHS,meig's,Registered,2013-08-20T10:40:43.000Z,2019-12-11T19:10:20.000Z,Eastern Zone,Morogoro,Kilombero,Kilombero DC,Kamwene,Kamwene,Dispensary,Operating,Private - For Profit,,,-8.80665,35.79706,,1,0,0,0,0
104722-4,Meise Skin General,,,2013-08-20T10:40:43.000Z,2015-09-02T12:49:34.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Magharibi,Not set,Clinic,Closed,Private - For Profit,,,-6.807307,39.275168,,0,0,0,0,0
104723-2,Meka,,Registered,2013-08-20T10:40:43.000Z,2015-12-06T11:18:47.000Z,Northern Zone,Tanga,Pangani,Pangani DC,Ubangaa,Meka,Dispensary,Operating,Public - LGA,,,-5.43291,38.8806,01/07/1976,0,0,1,0,0
104724-0,Mekomariro,Mekomariro,Registered,2013-08-20T10:40:44.000Z,2015-04-02T11:54:50.000Z,Lake Zone,Mara,Bunda,Bunda DC,Mihingo,Mekomariro,Dispensary,Operating,Public - LGA,,,-1.835,34.203,,0,0,1,0,0
104725-7,Melela,Melela,Registered,2013-08-20T10:40:44.000Z,2018-10-23T18:53:53.000Z,Eastern Zone,Morogoro,Mvomero,Mvomero DC,Melela,Melela,Health Center,Operating,Public - LGA,,,-6.92336,37.42855,,1,0,0,0,0
112523-6,Mema,Mema,Registered,2019-02-19T09:45:00.000Z,2019-11-07T19:29:07.000Z,Eastern Zone,Pwani,Kibaha,Kibaha DC,Bokomnemela,Bokomnemela,Dispensary,Operating,Private - For Profit,62239,,-6.83426,38.91749,01/02/2019,1,0,0,0,0
110759-8,Memba's Nurraifo,Kwa Memba,Registered,2015-07-16T04:28:44.000Z,2019-08-14T14:12:23.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipawa,Karakata,Dispensary,Closed,Private - NGOs,72339,,-6.866123,39.198609,17/09/2010,1,0,0,0,0
104726-5,Membe,Membe,Registered,2013-08-20T10:40:44.000Z,2018-04-05T07:09:23.000Z,Central Zone,Dodoma,Chamwino,Chamwino DC,Membe,Membe,Dispensary,Operating,Public - LGA,,,-5.892263,36.172407,02/10/1999,0,0,1,0,0
104729-9,Mendo,Mendo dispensary,Registered,2013-08-20T10:40:45.000Z,2019-05-04T17:26:59.000Z,Western Zone,Shinyanga,Shinyanga,Shinyanga DC,Ilola,Ihalo,Dispensary,Operating,Public - LGA,,17-03-0115,-3.73554,32.97659,,0,0,1,1,0
104730-7,Mengeni Kitasha,Mengeni Kitasha Dispensary,Registered,2013-08-20T10:40:45.000Z,2019-09-04T19:38:44.000Z,Northern Zone,Kilimanjaro,Rombo,Rombo DC,Keni Mengeni,Mengeni Kitasha,Dispensary,Operating,Public - LGA,,,-3.23885,37.58871,,1,0,0,0,0
104731-5,Mengwe Chini,Mengwe Chini Dispensary,Registered,2013-08-20T10:40:46.000Z,2018-09-07T13:53:48.000Z,Northern Zone,Kilimanjaro,Rombo,Rombo DC,Ngoyoni,Ngareni,Dispensary,Operating,Public - LGA,,,-3.274796,37.640981,,1,0,0,0,0
104732-3,Mengwe Juu,Mengwe Juu Dispensary,Registered,2013-08-20T10:40:46.000Z,2018-09-07T13:52:27.000Z,Northern Zone,Kilimanjaro,Rombo,Rombo DC,Mengwe,Mengwe Juu,Dispensary,Operating,Public - LGA,,,-3.25679,37.61118,,1,0,0,0,0
103991-6,Mennonite,Mennonite,Registered,2013-08-20T10:37:54.000Z,2019-09-23T10:08:49.000Z,Lake Zone,Mwanza,Magu,Magu DC,Magu Mjini,Bank,Dispensary,Operating,Private - For Profit,192007,,-2.59064,33.4445,10/06/1980,1,0,0,0,0
110034-6,Menonite,Menonite,Registered,2015-05-26T07:22:06.000Z,2015-12-09T14:18:55.000Z,Lake Zone,Kagera,Muleba,Muleba DC,Muleba,Muleba,Dispensary,Operating,Private - For Profit,,,-1.842284,31.651883,,1,0,0,0,0
104733-1,Menonite,menonite kagongwa,,2013-08-20T10:40:46.000Z,2016-08-30T09:53:30.000Z,Western Zone,Shinyanga,Kahama,Kahama TC,Kagongwa,Kagongwa,Dispensary,Closed (Temporary),Private - Faith based organization (FBO),,,-3.87465,32.76122,,1,0,0,0,0
104736-4,Menonite Lamadi,Menonaiti Dsp,Registered,2013-08-20T10:40:47.000Z,2016-09-06T14:13:09.000Z,Western Zone,Simiyu,Busega,Busega DC,Lamadi,Lamadi,Dispensary,Operating,Private - Faith based organization (FBO),,,-2.247209,33.847708,,1,0,0,0,0
104738-0,Menonite Nyihogo,matina,Registered,2013-08-20T10:40:47.000Z,2018-04-05T07:39:42.000Z,Western Zone,Shinyanga,Kahama,Kahama TC,Nyihogo,Nyihogo,Dispensary,Operating,Private - For Profit,,,-3.83673,32.59016,,1,0,0,0,0
104740-6,Merenga,Merenga Dispensary,Registered,2013-08-20T10:40:47.000Z,2014-05-22T06:39:58.000Z,Lake Zone,Mara,Serengeti,Serengeti DC,Nyansurura,Merenga,Dispensary,Operating,Public - LGA,,20-02-0133,-1.630108,34.653015,08/09/2008,0,0,1,0,0
113816-3,Merera,Merera,Registered,2019-10-18T06:58:50.000Z,2019-11-27T15:07:16.000Z,Eastern Zone,Morogoro,Kilombero,Kilombero DC,Chita,Merera,Dispensary,Operating,Public - LGA,,,-8.54962,36.01682,04/11/2018,0,0,1,0,0
104742-2,Mererani RC,R.C Mirerani,Registered,2013-08-20T10:40:48.000Z,2019-06-19T08:58:42.000Z,Northern Zone,Manyara,Simanjiro,Simanjiro DC,Mrerani,Mrerani,Dispensary,Operating,Private - Faith based organization (FBO),,,-3.563781,36.977681,,1,0,1,0,0
104743-0,Meresini,,Registered,2013-08-20T10:40:48.000Z,2019-05-22T10:17:01.000Z,Northern Zone,Kilimanjaro,Moshi,Moshi DC,Makuyuni,Himo,Dispensary,Operating,Private - For Profit,,,-3.3686,37.54626,21/11/1996,1,0,0,0,0
113673-8,Meron,,Registration Pending Certification,2019-06-10T12:04:45.000Z,2019-06-10T12:04:45.000Z,Northern Zone,Manyara,Babati,Babati TC,Bagara,Nakwa,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,-4.24662,35.70757,,1,0,0,0,0
104744-8,Merr,Merr Dispensary,Registered,2013-08-20T10:40:48.000Z,2019-08-30T08:18:11.000Z,Northern Zone,Manyara,Babati,Babati DC,Madunga,Merr,Dispensary,Operating,Public - LGA,385612,21-02-0138,-4.10739,35.58061,01/03/2201,0,0,1,0,0
111037-8,Merrs,Merrs,Registered,2015-11-10T08:25:36.000Z,2019-08-30T06:04:28.000Z,Eastern Zone,Morogoro,Kilombero,Kilombero DC,Mlimba,Not set,Dispensary,Operating,Private - For Profit,,,-8.78645,35.80531,,0,0,0,0,0
100184-1,Meru,Meru,Registered,2013-08-20T10:24:13.000Z,2019-04-30T10:38:13.000Z,Northern Zone,Arusha,Arumeru,Meru DC,Akheri,Patandi,Hospital - District Hospital,Operating,Public - LGA,,02-20-0100,-3.3706,36.786839,19/11/1986,1,1,1,0,0
104746-3,Merya,Merya,Registered,2013-08-20T10:40:49.000Z,2019-04-30T13:33:18.000Z,Central Zone,Singida,Singida,Singida DC,Merya,Merya,Dispensary,Operating,Private - Faith based organization (FBO),,,-4.68036,34.9642,,0,0,0,0,0
114066-4,Meseran bwawani,,Registered,2020-03-17T09:22:37.000Z,2020-03-17T09:22:37.000Z,Northern Zone,Arusha,Monduli,Monduli DC,Meserani,Meserani Chini,Dispensary,Operating,Public - LGA,,,-6.45677,37.2346,03/02/2020,1,0,1,0,0
112286-0,Meseran Korea,meserani korea,Registered,2018-07-18T09:13:50.000Z,2019-08-14T19:13:51.000Z,Northern Zone,Arusha,Monduli,Monduli DC,Meserani,Meserani Chini,Dispensary,Operating,Public - LGA,20147,02/01/2003,-6.45678,38.2145,02/03/2018,1,0,0,0,0
104747-1,Meserani Juu,Duka Bovu,Registered,2013-08-20T10:40:49.000Z,2018-01-16T05:34:27.000Z,Northern Zone,Arusha,Monduli,Monduli DC,Meserani,Meserani Juu,Dispensary,Operating,Public - LGA,,02-01-0114,-3.440775,36.481892,06/06/2014,0,0,0,1,0
111860-3,Meshugi,meshugi,Registration Pending Certification,2017-09-21T11:36:54.000Z,2019-05-03T04:36:13.000Z,Eastern Zone,Morogoro,Gairo,Gairo DC,Gairo,Meshugi,Dispensary,Operating,Public - LGA,,05-07-0132,-6.04774,36.85538,28/07/2017,0,0,0,0,1
108617-2,Methodist Michael Scott,Methodist,Registered,2014-07-02T10:27:36.000Z,2017-07-21T10:27:10.000Z,Lake Zone,Mwanza,Magu,Magu DC,Nyigogo,Kipeja,Dispensary,Operating,Private - Faith based organization (FBO),192207,,-2.60714,33.44518,13/05/2012,0,0,1,0,0
104748-9,Mewadan,Mewadan,Registered,2013-08-20T10:40:49.000Z,2019-11-08T11:07:21.000Z,Northern Zone,Manyara,Mbulu,Mbulu DC,Geterer,Mewadan,Dispensary,Operating,Public - LGA,AR/KIJ/390,,-4.24695,34.99977,23/09/2002,0,0,1,0,0
108491-2,Mfaranyaki charity,Mfafanyaki kwa mwampambe,Registered,2014-01-31T22:30:01.000Z,2018-04-02T05:45:21.000Z,Southern Zone,Ruvuma,Songea,Songea MC,Mfaranyaki,Mbalika,Dispensary,Operating,Private - For Profit,,,-10.67609,35.64028,,0,0,0,0,0
104751-3,Mfereji,Mfereji,Registered,2013-08-20T10:40:50.000Z,2019-06-12T02:47:28.000Z,Northern Zone,Arusha,Monduli,Monduli DC,Monduli Juu,Mfereji,Dispensary,Operating,Public - LGA,,02-01-0116,-3.15113,36.40545,18/10/1978,0,0,1,0,0
112171-4,Mfereke,,Registered,2018-03-29T06:28:08.000Z,2019-09-19T13:06:57.000Z,Southern Highlands Zone,Njombe,Njombe,Njombe TC,Utalingolo,Mfereke,Dispensary,Operating,Public - LGA,,,-9.399196,34.741415,24/07/2018,0,0,1,0,0
104753-9,Mfinga,Mfinga,Registered,2013-08-20T10:40:50.000Z,2019-05-03T10:14:14.000Z,Southern Highlands Zone,Rukwa,Sumbawanga,Sumbawanga DC,Mfinga,Mfinga,Dispensary,Operating,Public - LGA,,15-02-0139,-7.50747,31.4342,,0,0,0,0,0
104752-1,Mfinga,Mfinga,Registered,2013-08-20T10:40:50.000Z,2019-11-28T11:56:00.000Z,Northern Zone,Kilimanjaro,Mwanga,Mwanga DC,Shighatini,Mfinga,Dispensary,Operating,Public - LGA,,,-3.67006,37.63428,20/07/2001,1,0,0,0,0
104754-7,Mfisini,Mfisini,Registered,2013-08-20T10:40:51.000Z,2018-04-25T13:00:39.000Z,Eastern Zone,Pwani,Rufiji,Kibiti DC,Salale,Not set,Dispensary,Operating,Public - LGA,,,-7.85461,39.35167,01/07/1987,0,0,1,0,0
104755-4,Mfriga,Mfriga,Registered,2013-08-20T10:40:51.000Z,2019-06-25T13:20:20.000Z,Southern Highlands Zone,Njombe,Njombe,Njombe DC,Mfriga,Not set,Dispensary,Operating,Public - LGA,,22-04-0120,-9.296681,35.316987,14/09/1997,0,0,1,1,0
104757-0,Mfumbi,Mfumbi Dispensary,Registered,2013-08-20T10:40:51.000Z,2019-11-15T12:34:25.000Z,Southern Highlands Zone,Njombe,Makete,Makete DC,Mfumbi,Mfumbi,Dispensary,Operating,Public - LGA,,,-8.8551,34.09608,15/01/1970,0,0,0,0,0
104758-8,Mfumbwe,Mfumbwe,Registered,2013-08-20T10:40:51.000Z,2016-05-05T12:55:53.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro DC,Mkuyuni,Mkuyuni,Dispensary,Operating,Public - LGA,,,-6.8945,37.82123,,0,0,1,0,0
111493-3,Mfurumwambao,MFURU MWAMBAO DISPENSARY,Registered,2016-09-21T09:30:53.000Z,2019-07-16T13:09:35.000Z,Eastern Zone,Pwani,Mkuranga,Mkuranga DC,Vianzi,Mfuru Mwambao,Dispensary,Operating,Public - LGA,,,-7.06961,39.36177,,0,0,0,1,1
104759-6,Mfuto,MFUTO,Registered,2013-08-20T10:40:52.000Z,2019-11-05T08:30:39.000Z,Southern Highlands Zone,Songwe,Momba,Momba DC,Miyunga,Mfuto,Dispensary,Operating,Public - LGA,,,-8.798999,32.33388,23/07/2014,0,0,0,0,0
104760-4,Mfyome,Mfyome Dispensary,Registered,2013-08-20T10:40:52.000Z,2019-11-28T03:58:23.000Z,Southern Highlands Zone,Iringa,Iringa,Iringa DC,Kiwere,Mfyome,Dispensary,Operating,Public - LGA,,,-7.63397,35.61492,01/07/1967,0,0,1,0,0
104761-2,Mgagao,Mgagao,Registered,2013-08-20T10:40:52.000Z,2019-11-28T11:52:45.000Z,Northern Zone,Kilimanjaro,Mwanga,Mwanga DC,Mgagao,Mgagao,Dispensary,Operating,Public - LGA,,,-3.9109,37.65413,23/08/1996,1,0,0,0,0
104762-0,Mgala,Mgala dispensary,Registered,2013-08-20T10:40:53.000Z,2019-09-19T13:09:20.000Z,Southern Highlands Zone,Njombe,Njombe,Njombe TC,Ihanga,Mgala,Dispensary,Operating,Public - LGA,,22-01-0128,-9.53587,35.24223,01/02/2010,0,0,1,0,0
104764-6,Mgama,Mgama HC,Registered,2013-08-20T10:40:53.000Z,2019-12-11T13:55:57.000Z,Southern Highlands Zone,Iringa,Iringa,Iringa DC,Mgama,Mgama,Health Center,Operating,Public - LGA,,11-06-0107,-8.02044,35.59259,01/07/2012,1,0,1,0,0
104765-3,Mgambazi,,Registered,2013-08-20T10:40:53.000Z,2019-11-28T14:33:56.000Z,Western Zone,Kigoma,Uvinza,Uvinza DC,Igalula,Mgambazi,Dispensary,Operating,Public - LGA,,,-5.8396,29.97228,01/07/2004,0,0,0,0,0
104767-9,Mgambo,Mgambo,Registered,2013-08-20T10:40:54.000Z,2015-08-24T07:13:38.000Z,Northern Zone,Tanga,Muheza,Muheza DC,Misalai,Mgambo Miembeni,Dispensary,Operating,Public - LGA,,,-5.04592,38.61292,01/11/2013,0,0,0,1,0
102093-2,Mgambo JKT,Mgambo JKT,Registered,2013-08-20T10:30:53.000Z,2019-06-12T10:44:10.000Z,Northern Zone,Tanga,Handeni,Handeni DC,Mgambo,Komsanga,Dispensary,Operating,Public - Military,,,-5.52884,38.58605,,1,0,0,0,0
104769-5,Mgandu,,,2013-08-20T10:40:54.000Z,2016-05-15T01:44:54.000Z,Central Zone,Singida,Manyoni,Itigi DC,Mgandu,Not set,Dispensary,Operating,Public - LGA,,,-5.96448,34.1249,,0,0,0,0,0
104770-3,Mganza,,Registered,2013-08-20T10:40:54.000Z,2019-05-22T14:33:43.000Z,Western Zone,Kigoma,Uvinza,Uvinza DC,Mganza,Mganza,Dispensary,Operating,Public - LGA,,,-5.06694,31.04296,,0,0,0,0,0
104771-1,Mgao,Mgao Dispensary,,2013-08-20T10:40:54.000Z,2015-05-28T11:34:20.000Z,Southern Zone,Mtwara,Mtwara,Mtwara DC,Naumbu,Mgao,Dispensary,Operating,Public - LGA,,,-10.1351,39.982495,,0,0,0,0,0
111595-5,Mgao,Dr Mgao,Registered,2016-12-20T11:28:21.000Z,2018-04-23T10:30:22.000Z,Southern Highlands Zone,Njombe,Njombe,Njombe TC,Mjimwema,Nazareti,Health Center,Operating,Private - For Profit,113213,,-9.347134,34.789655,14/11/2013,1,1,0,0,0
